time,queueLength
1652695796,L3: Within first room
1652695829,L3: Within first room
1652695920,L3: Within first room
1652696304,L1: Within kitchen
1652697153,L1: Within kitchen
1652697169,L1: Within kitchen
1652697256,L1: Within kitchen
1652697278,L1: Within kitchen
1652697402,L3: Within first room
1652697529,L4: Starting to corner
1652697643,L4: Starting to corner
1652697650,L5: Past first desk
1652697652,L5: Past first desk
1652697657,L5: Past first desk
1652697873,L5: Past first desk
1652698264,L4: Starting to corner
1652698522,L5: Past first desk
1652698522,L5: Past first desk
1652698563,L5: Past first desk
1652698836,L4: Starting to corner
1652699085,L3: Within first room
1652699496,L4: Starting to corner
1652703620,L0: Virtually empty
1652780913,L7: Up to stairs
1652781088,L8: Even longer
1652781192,L8: Even longer
1652783544,L4: Starting to corner
1652783551,L4: Starting to corner
1652783555,L8: Even longer
1652783580,L7: Up to stairs
1652783638,L7: Up to stairs
1652783639,L8: Even longer
1652783642,L8: Even longer
1652783644,L8: Even longer
1652783658,L8: Even longer
1652783724,L8: Even longer
1652783744,L8: Even longer
1652783750,L7: Up to stairs
1652783751,L0: Virtually empty
1652783755,L8: Even longer
1652783781,L7: Up to stairs
1652783975,L7: Up to stairs
1652784109,L6: Past second desk
1652784146,L6: Past second desk
1652784168,L6: Past second desk
1652784211,L6: Past second desk
1652784414,L7: Up to stairs
1652785621,L3: Within first room
1652785904,L2: Up to food trays
1652786486,L0: Virtually empty
1652786793,L6: Past second desk
1652866966,L3: Within first room
1652867458,L5: Past first desk
1652867570,L5: Past first desk
1652867635,L6: Past second desk
1652867791,L6: Past second desk
1652867793,L7: Up to stairs
1652867918,L6: Past second desk
1652868022,L5: Past first desk
1652868349,L6: Past second desk
1652868351,L6: Past second desk
1652868552,L6: Past second desk
1652868585,L6: Past second desk
1652869000,L4: Starting to corner
1652869003,L4: Starting to corner
1652869025,L5: Past first desk
1652869042,L0: Virtually empty
1652869050,L5: Past first desk
1652869585,L4: Starting to corner
1652869819,L5: Past first desk
1652869852,L4: Starting to corner
1652869991,L4: Starting to corner
1652870021,L5: Past first desk
1652870037,L5: Past first desk
1652870046,L5: Past first desk
1652870130,L5: Past first desk
1652870134,L5: Past first desk
1652870288,L6: Past second desk
1652870321,L7: Up to stairs
1652870329,L8: Even longer
1652870523,L7: Up to stairs
1652870740,L7: Up to stairs
1652870833,L6: Past second desk
1652870991,L4: Starting to corner
1652871158,L5: Past first desk
1652871898,L3: Within first room
1652872158,L3: Within first room
1652872353,L2: Up to food trays
1652880540,L8: Even longer
1652880540,L8: Even longer
1652880541,L8: Even longer
1652880541,L8: Even longer
1652880541,L8: Even longer
1652880542,L8: Even longer
1652880542,L8: Even longer
1652880543,L8: Even longer
1652880543,L8: Even longer
1652880543,L8: Even longer
1652880543,L8: Even longer
1652880544,L8: Even longer
